,Appellate_Last_Name,law school,grad year,elect,military,ADA,APD,Prof,female,no experience info,CC,SC-AJ,SC,SC-AJ & SC,lower only,start year,year joining appellate court,1987,1990,1991,1992,1996,1997,1999,2001,2003,2004,2006,2007,2008,2010,2011,2013,2014,2015,retired,presiding justice
0,fahey,buffalo,1984.0,1,0,0,0,0,0,0,0,0,1,0,0,1996,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,smith,vermont,,0,0,1,0,1,1,0,1,0,0,1,0,1992,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,scudder,tennessee,,0,0,1,0,0,0,0,1,0,0,1,0,1982,1999,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3,centra,buffalo,1983.0,0,0,1,0,0,0,0,0,0,0,1,0,1999,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,peradotto,buffalo,1984.0,0,0,0,0,0,1,0,0,0,1,0,0,2003,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,whalen,buffalo,1983.0,0,0,0,0,1,0,0,0,0,1,0,0,2005,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,sconiers,buffalo,1973.0,0,0,0,1,0,1,0,0,0,1,0,0,1993,2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,carni,whittier,1985.0,1,0,0,0,0,0,0,0,0,0,1,0,2001,2006,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,lindley,buffalo,1989.0,0,0,1,0,0,0,0,0,0,0,1,0,2005,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,valentino,st.johns,1972.0,0,0,1,0,1,0,0,1,0,1,0,0,2000,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,dejoseph,syracuse,1975.0,0,1,0,0,0,0,0,0,0,1,0,0,2000,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,martoche,unknown,,0,0,1,1,0,0,0,0,0,1,0,0,1999,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,gorski,georgetown,1962.0,0,0,1,0,0,0,0,0,0,1,0,0,1989,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,green,buffalo,1967.0,0,0,0,0,0,0,0,0,0,1,0,0,1978,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,pine,harvard,1960.0,0,0,0,0,0,1,0,0,0,1,0,0,1976,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,hurlbutt,albany,1964.0,1,0,1,0,1,0,0,1,0,1,0,0,1982,1999,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
16,lunn,cornell,1974.0,0,0,1,0,0,0,0,0,0,1,0,0,1994,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,kehoe,syracuse,1962.0,1,0,1,0,0,0,0,0,0,1,0,0,1992,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,pigott,buffalo,1973.0,0,1,0,0,0,0,0,1,0,0,1,0,1994,1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,hayes,albany,1959.0,1,0,1,0,0,0,0,0,0,1,0,0,1973,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,lawton,st.johns,1955.0,1,1,0,0,0,0,0,0,0,1,0,0,1982,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,wisner,albany,1966.0,0,1,1,0,0,0,0,1,0,0,1,0,1982,1997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
